iShares Russell 3000 ETF
Fund Holdings as of,"Feb 02, 2024"
Inception Date,"May 22, 2000"
Shares Outstanding,"46,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"PYPL","PAYPAL HOLDINGS INC","Financials","Equity","18,591,422.48","0.14","18,591,422.48","297,844.00","62.42","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS INC","Information Technology","Equity","18,533,112.20","0.14","18,533,112.20","67,862.00","273.10","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CMG","CHIPOTLE MEXICAN GRILL INC","Consumer Discretionary","Equity","18,488,021.44","0.14","18,488,021.44","7,448.00","2,482.28","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","18,452,781.00","0.14","18,452,781.00","36,580.00","504.45","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TGT","TARGET CORP","Consumer Staples","Equity","18,107,248.93","0.14","18,107,248.93","124,457.00","145.49","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"EOG","EOG RESOURCES INC","Energy","Equity","17,602,204.05","0.14","17,602,204.05","158,793.00","110.85","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","17,570,674.08","0.14","17,570,674.08","34,428.00","510.36","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CRWD","CROWDSTRIKE HOLDINGS INC CLASS A","Information Technology","Equity","17,569,113.75","0.14","17,569,113.75","57,875.00","303.57","United States","NASDAQ","USD","1.00","USD","-"
"PSX","PHILLIPS","Energy","Equity","17,564,629.68","0.14","17,564,629.68","120,744.00","145.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"GD","GENERAL DYNAMICS CORP","Industrials","Equity","17,536,469.16","0.13","17,536,469.16","66,108.00","265.27","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"NOC","NORTHROP GRUMMAN CORP","Industrials","Equity","17,267,462.28","0.13","17,267,462.28","38,666.00","446.58","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","17,253,838.16","0.13","17,253,838.16","422,474.00","40.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
